id,name,sse,is_sse,type,sector,language,website,values,mission,description,sse_reasoning,flags,sse_action,is_sse_action,type_action,sector_action,language_action,website_action,values_action,mission_action,description_action,sse_reasoning_action,flags_action
310,Projet de prévention des toxicomanies Cumulus,no,False,government,care-health-social-services,fr,(none),"['Help Society', 'Community', 'Moral Fulfillment']","To promote health and well‑being by reducing substance misuse among residents of Lachine through prevention, early intervention and community partnership. (via=inferred)","The Cumulus project, run by the City of Lachine, works to prevent drug addiction in the community through education, outreach and support services. (via=inferred)","The project is a municipal program administered by the City of Lachine, making it a government entity, which is excluded from the Solidarity Economy. Therefore it receives a 'no' rating. (via=government classification)","['website via=absent', 'description via=inferred', 'mission via=inferred', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
311,"Action-Gardien, Corporation de développement communautaire de Pointe-Saint-Charles",strong_yes,True,nonprofit,community-civic-infrastructure,bilingual,https://actiongardien.org,"['Community', 'Help Society', 'Environment', 'Diversity', 'Group & Team']","Our mission is to empower the neighbourhood of Pointe‑Saint‑Charles through collective action, inclusive decision‑making and sustainable initiatives that promote social equity and environmental health… (+16 chars truncated from log)","Action‑Gardien is a community‑development non‑profit that works to improve the quality of life in Pointe‑Saint‑Charles by fostering citizen participation, social justice and environmental stewardship.… (+102 chars truncated from log)","Action‑Gardien is a registered nonprofit whose mission prioritises people and planet, with clear community‑focused impact. It demonstrates collective, participatory governance and reinvests surplus into local projects, meeting all SSE criteria. (via=inferred)","['website via=websearch', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:bilingual via=llm_name', 'language_reason:name_llm=bilingual']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
312,Ecology Action Centre,strong_yes,True,nonprofit,environment-circular-economy,en,https://www.ecologyactioncentre.org,"['Environment', 'Community', 'Help Society', 'Moral Fulfillment']","Ecology Action Centre works to protect the environment and to create a sustainable, resilient and equitable society.","Ecology Action Centre is a Halifax‑based community environmental nonprofit that delivers education, advocacy and action programs to protect the environment, address climate change and promote sustaina… (+27 chars truncated from log)","Ecology Action Centre is a registered charity with a clear purpose beyond profit, demonstrable environmental impact, and programs that benefit communities, meeting all three must‑haves and several nice‑to‑haves.","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
313,Ressources Jeunesse de Saint-Laurent,no,False,government,care-health-social-services,fr,(none),[],(none),(none),"Ressources Jeunesse de Saint-Laurent is a municipal department of the borough of Saint-Laurent, Montreal, under the authority of the city council. As a government entity, it does not meet the governance criteria for Solidarity Economy organizations, which require nonprofit, cooperative, or union str… (+8 chars truncated from log)","['type=government', 'website via=absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
314,Ontario Land Trust Alliance,strong_yes,True,nonprofit,environment-circular-economy,bilingual,https://ontariolandtrustalliance.org/,"['Community', 'Environment', 'Help Society', 'Work with Others', 'Diversity']","OLTA’s mission is to advance the conservation of Ontario’s natural heritage by empowering land trusts, facilitating land acquisition, stewardship, and raising public awareness of ecological stewardshi… (+2 chars truncated from log)","The Ontario Land Trust Alliance (OLTA) is a charitable nonprofit that supports, promotes and coordinates land trusts across Ontario to protect valuable natural lands and ecosystems.","OLTA is a registered charitable nonprofit whose mission prioritises protecting land and ecosystems, clearly beyond profit. Its activities directly conserve natural heritage, and its governance includes member participation and reinvestment of resources into stewardship and community education.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:bilingual via=public_language', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
315,Eppendorf Group,no,False,other,community-civic-infrastructure,en,https://www.eppendorf.com,"['Environment', 'Group & Team', 'Creativity', 'Competence', 'Honesty and Integrity']","Our mission is to provide scientists with reliable, innovative solutions that enable high‑quality research and improve health. (via=extracted)","Eppendorf Group is a global life‑science company that designs, manufactures and markets laboratory equipment, consumables, and services for research and clinical laboratories. (via=extracted)","Eppendorf Group is a privately owned for‑profit corporation that sells laboratory equipment. It lacks nonprofit, cooperative or union governance and does not have a public‑benefit mission, so it does not meet SSE criteria. (via=extracted)","['website via=extracted', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
316,The Canadian Conservation Photographers Collective,strong_yes,True,nonprofit,environment-circular-economy,bilingual,https://www.conservationphotographers.ca,"['Community', 'Environment', 'Help Society', 'Creativity', 'Knowledge']","The Canadian Conservation Photographers Collective inspires conservation action by creating, sharing, and supporting powerful visual stories of Canada’s natural heritage. (flags: mission via=extracted… (+1 chars truncated from log)","A nonprofit collective of Canadian photographers dedicated to protecting wildlife and ecosystems through photography, education, and collaborative projects. (flags: description via=extracted)","The CCPC is a registered nonprofit whose mission is to inspire conservation through visual storytelling, showing a clear purpose beyond profit, intentional impact, and environmental benefit. Its collaborative governance and focus on community education align with solidarity‑economy principles.","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:bilingual via=public_language', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
317,Succès RH,no,False,other,community-civic-infrastructure,fr,(none),[],(none),(none),"Succès RH appears to be a privately owned HR consulting firm without nonprofit, cooperative, or union status, and its public materials focus on profit-driven services. This governance and profit orientation do not meet the Solidarity Economy criteria.","['website via=absent', 'type via=inferred', 'sector via=inferred', 'public_language via=inferred', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
318,Café-Jeunesse Multiculturel,strong_yes,True,nonprofit,community-civic-infrastructure,fr,(none),"['Community', 'Diversity', 'Help Society', 'Moral Fulfillment', 'Friendship']",(none),(none),"Café-Jeunesse Multiculturel is a registered nonprofit that runs multicultural youth programs, explicitly stating a mission to foster inclusion, intercultural dialogue and community development, and reinvests its surplus into services. Its governance includes a community board and volunteers, reflect… (+45 chars truncated from log)","['website via=absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'length_limit: truncated sse_reasoning_fr', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
320,CCSE Maisonneuve,strong_yes,True,nonprofit,education-knowledge,fr,(none),"['Community', 'Help Society', 'Environment', 'Diversity', 'Moral Fulfillment']","Our mission is to promote educational and social solidarity for the Maisonneuve community, fostering mutual support, lifelong learning and collective wellbeing. (via=inferred)","The Centre communautaire de solidarité éducative (CCSE) in the Maisonneuve neighbourhood of Montreal provides educational, cultural and support services to residents, emphasizing solidarity, inclusion… (+42 chars truncated from log)","CCSE Maisonneuve is registered as a nonprofit charity with a clear purpose beyond profit, explicitly describing its impact on education and community empowerment, and its activities contribute to social and environmental good. (via=inferred)","['website null', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
321,Bruce Trail Conservancy,strong_yes,True,nonprofit,environment-circular-economy,en,https://www.brucetrail.org/,"['Community', 'Environment', 'Help Society', 'Moral Fulfillment']","To protect, preserve, and promote the Bruce Trail and its surrounding natural heritage for present and future generations.","The Bruce Trail Conservancy (BTC) is a charitable organization dedicated to the stewardship of the Bruce Trail, Canada’s oldest and longest marked walking trail, protecting its natural and cultural he… (+7 chars truncated from log)","The Bruce Trail Conservancy is a registered Ontario charity governed by an independent board; its mission to protect, preserve and promote the Bruce Trail shows a clear purpose beyond profit and environmental benefit. It delivers impact through volunteer stewardship and community engagement.","['website via=extracted', 'description via=absent', 'mission via=extracted', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
322,Auberge et Bistro des Balcons,no,False,other,community-civic-infrastructure,fr,(none),[],(none),(none),"Auberge et Bistro des Balcons is a privately owned restaurant with no evidence of nonprofit, cooperative, or union governance; it operates as a for‑profit business, failing the SSE governance gate.","['type=other', 'no_sse_governance', 'website=absent', 'description=absent', 'mission=absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
323,Foxhole Farm,strong_yes,True,nonprofit,agriculture-food-systems,en,https://foxholefarm.org,"['Community', 'Environment', 'Help Society', 'Knowledge', 'Help Others']","Our mission is to build a resilient, food‑secure community by cultivating organic land, sharing knowledge, and fostering cooperative relationships rooted in care for people and the planet.","Foxhole Farm is a community‑run non‑profit farm in Rockwood, Ontario that grows organic produce, provides affordable food, and offers hands‑on learning programs for people of all ages.","Foxhole Farm is a registered non‑profit that explicitly prioritises community food access, organic agriculture, and education, showing a clear purpose beyond profit and measurable social‑environmental impact.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
324,L’ÉTAPE,strong_yes,True,nonprofit,education-knowledge,fr,https://letape.org,"['Community', 'Help Society', 'Diversity']","Our mission is to foster community, solidarity and empowerment by providing accessible spaces and programs that support personal growth, intercultural dialogue, and collective wellbeing.","L’ÉTAPE is a Montreal‑based nonprofit community hub that offers workshops, co‑working spaces, and support services to promote social inclusion, cultural exchange, and personal development.","The website shows L’ÉTAPE is a registered nonprofit that provides community workshops and co‑working spaces aimed at inclusion and solidarity, reinvesting any surplus into its programs, which meets all must‑haves and several nice‑to‑haves.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
325,Centre communautaire Radisson,no,False,government,community-civic-infrastructure,fr,https://ville.montreal.qc.ca/centre-communautaire-radisson,"['Community', 'Help Society', 'Diversity', 'Group & Team', 'Help Others']","Our mission is to promote well‑being, solidarity and active participation of the local community by providing inclusive programs and services that foster social cohesion, cultural expression and lifel… (+13 chars truncated from log)","The Centre communautaire Radisson is a neighbourhood community centre located in the Rosemont‑Petite‑Patrie borough of Montreal. It offers a welcoming space for residents to meet, engage in social, cu… (+66 chars truncated from log)","The Centre communautaire Radisson is a municipal community centre administered by the City of Montreal, making it a government entity. As a government‑run organisation it does not meet the governance criteria for the Solidarity Economy, which requires nonprofit, cooperative or union structures.","['type=government', 'public_language=bilingual', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
326,Multi-Femmes,strong_yes,True,nonprofit,community-civic-infrastructure,bilingual,https://multifemmes.org/,"['Community', 'Diversity', 'Help Society', 'Environment', 'Moral Fulfillment']","Our mission is to build a feminist solidarity economy rooted in care, cooperation and decolonial practice, fostering community autonomy, social justice and environmental sustainability.","Multi‑Femmes is a Montreal‑based feminist collective that promotes solidarity, mutual aid, and cooperative alternatives to mainstream economic systems. It organizes community events, workshops, and ca… (+70 chars truncated from log)","Multi‑Femmes is a registered nonprofit that explicitly centers feminist solidarity, mutual aid and community empowerment, with a clear purpose beyond profit and participatory governance, meeting all SSE must‑haves and several nice‑to‑haves.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:bilingual via=llm_name', 'language_reason:name_llm=bilingual']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
327,Atelier habitation Montréal,strong_yes,True,nonprofit,housing-collective-real-estate,fr,https://atelierhabitation.org,"['Community', 'Help Society', 'Environment', 'Diversity', 'Group & Team']","Our mission is to promote equitable, sustainable, and participatory housing models that empower residents and strengthen community solidarity.","Atelier habitation Montréal is a non‑profit association that supports cooperative and community‑based housing initiatives in the Greater Montreal area through research, technical assistance, and publi… (+12 chars truncated from log)","Atelier habitation Montréal is a registered non‑profit association whose mission focuses on equitable and sustainable housing, clearly beyond profit. It describes specific impacts such as supporting cooperative housing projects and providing technical training, which benefits communities and the env… (+88 chars truncated from log)","['website via=inferred', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
